,State,% Below Poverty Level,Est Pop,Incidents,Incidents Per 100k People,Region,Division,State Name,Gun Murder Rate per 100K (2010),Gun Ownership,Violent Crime,Murder and nonnegligent manslaughter (per 100K) 2013,Forcible rape (per 100K) 2013,Robbery (per 100K) 2013,Aggravated assault  (per 100K) 2013,Property Crime  (per 100K) 2013,Burglary  (per 100K) 2013,Larceny (per 100K) 2013,Motor Theft (per 100K) 2013
26,NE,11.08757936066815,1907116,14,0.7340927347890742,Midwest,West North Central,Nebraska,1.8,38.6,259.4,2.9,38.3,60.9,157.4,2754.9,470.8,2060.7,223.5
27,NV,13.58544627350889,2940058,47,1.5986079186192925,West,Mountain,Nevada,3.1,33.8,607.6,4.5,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1
28,NH,7.063931165459865,1334795,7,0.5244250989852374,Northeast,New England,New Hampshire,0.4,30.0,187.9,1.1,34.0,35.7,117.0,2324.0,412.2,1834.3,77.5
29,NJ,10.239993005733487,8944469,36,0.4024833670953525,Northeast,Middle Atlantic,New Jersey,2.8,12.3,290.2,4.4,11.7,128.4,145.7,2047.3,477.6,1383.7,185.9
30,NM,19.43585221634635,2081015,60,2.88320843434574,West,Mountain,New Mexico,3.3,34.8,559.1,5.6,45.9,88.6,419.1,3600.7,1025.3,2313.4,261.9
31,NY,14.346834832349122,19745289,54,0.27348295585848353,Northeast,Middle Atlantic,New York,2.7,18.0,406.8,3.5,14.6,146.4,242.3,1922.0,329.9,1503.5,88.6
32,NC,14.998637992633729,10146788,89,0.8771248596107458,South,South Atlantic,North Carolina,3.0,41.3,353.4,4.9,20.3,96.3,231.8,3369.5,1018.5,2185.7,165.3
33,ND,10.352093071733998,757953,7,0.92354011396485,Midwest,West North Central,North Dakota,0.6,50.7,244.7,4.0,38.9,18.7,183.1,2010.1,339.8,1505.8,164.5
34,OH,14.166774220183905,11614373,95,0.8179520323654148,Midwest,East North Central,Ohio,2.7,32.4,299.7,4.3,31.7,132.0,131.7,3117.4,895.9,2052.5,169.0
35,OK,15.811580347546528,3923561,87,2.2173734523306763,South,West South Central,Oklahoma,3.0,42.9,469.3,5.7,41.6,84.7,337.3,3401.0,936.6,2161.3,303.1
36,OR,13.097608016680246,4093465,42,1.026025628654453,West,Pacific,Oregon,0.9,39.8,247.6,2.4,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7
37,PA,12.453197209342418,12784227,65,0.5084390319414698,Northeast,Middle Atlantic,Pennsylvania,3.6,34.7,348.7,5.4,26.1,122.8,194.4,2166.3,445.5,1603.1,117.7
38,RI,12.299205055536309,1056426,3,0.28397635044953456,Northeast,New England,Rhode Island,1.5,12.8,252.4,3.2,27.4,67.9,153.9,2572.3,566.4,1755.7,250.2
39,SC,14.834556478084885,4961119,51,1.0279938860567546,South,South Atlantic,South Carolina,4.5,42.3,558.8,6.9,35.5,95.0,421.4,3822.2,954.5,2588.3,279.5
40,SD,12.821247576416539,865454,10,1.1554629131068779,Midwest,West North Central,South Dakota,1.0,56.6,321.8,3.0,70.2,19.0,229.7,2060.1,391.0,1541.4,127.8
41,TN,15.383358236130235,6651194,68,1.0223728250897508,South,East South Central,Tennessee,3.5,43.9,643.6,6.0,31.5,126.5,479.6,3371.4,870.2,2300.1,201.0
42,TX,15.294113297985588,27862596,250,0.8972602552899234,South,West South Central,Texas,3.2,35.9,408.6,4.4,29.6,116.6,258.0,3361.8,785.9,2326.4,249.4
43,UT,10.058347210309854,3051217,31,1.015988046736761,West,Mountain,Utah,0.8,43.9,205.8,1.8,33.0,38.5,132.5,2991.8,453.3,2328.4,210.1
44,VT,11.4200584699821,624594,6,0.9606240213642783,Northeast,New England,Vermont,0.3,42.0,142.6,1.3,19.3,17.9,104.2,2398.7,633.4,1695.8,69.5
45,VA,10.656924171355314,8411808,64,0.7608352449318861,South,South Atlantic,Virginia,3.1,35.1,190.1,3.8,17.7,57.5,111.1,2162.1,360.5,1690.7,110.9
46,WA,11.055035675082326,7288000,72,0.9879253567508234,West,Pacific,Washington,1.4,33.1,295.6,3.0,31.8,83.3,177.5,3658.6,880.5,2395.3,382.8
47,WV,17.4246437391254,1831102,28,1.5291338221464452,South,South Atlantic,West Virginia,1.5,55.4,316.3,3.9,22.7,45.2,244.6,2364.9,608.5,1637.3,119.1
48,WI,11.448318300852318,5778709,55,0.9517696772756683,Midwest,East North Central,Wisconsin,1.7,44.4,280.5,3.0,21.3,80.7,175.5,2453.8,488.0,1822.3,143.5
49,WY,11.044046039204032,585501,10,1.7079390129137269,West,Mountain,Wyoming,0.9,59.7,201.4,2.4,26.7,10.6,161.7,2293.8,368.7,1823.9,101.3
